,0
0,0.16666666666666666
1,0.325
2,0.392
3,0.455
4,0.63
5,0.675
6,0.16666666666666666
7,0.6
8,0.6
9,0.6
10,0.5
11,0.7
12,0.6
13,0.55
14,0.2
15,-0.6499999999999999
16,0.3666666666666667
17,0.6
18,0.7
19,-0.35
20,0.7
21,0.6
22,0.6
23,0.6
24,0.15000000000000002
25,0.6
26,0.2
27,-0.75
28,0.7
29,0.55
30,0.625
31,-0.6
32,0.09999999999999998
33,0.7
34,0.7
35,0.7
36,0.6
37,0.3
38,0.6
39,0.13333333333333333
40,0.1
41,0.6
42,0.6
43,0.275
44,0.016666666666666666
45,-0.6499999999999999
46,-0.6499999999999999
47,0.45833333333333337
48,0.3666666666666667
49,0.3666666666666667
50,0.6
51,0.55
52,0.19333333333333336
53,0.55
54,0.390625
55,0.37083333333333335
56,0.16666666666666666
57,0.3666666666666667
58,0.6
59,-0.2
60,0.7
61,0.275
62,0.6
63,0.3666666666666667
64,-0.15000000000000002
65,0.45
66,0.6
67,-0.2
68,0.6
69,0.55
70,0.5
71,-0.3
72,0.875
73,0.1
74,-0.27499999999999997
75,-0.1
76,0.05
77,0.24166666666666667
78,0.6
79,0.3666666666666667
80,-0.05
81,0.3666666666666667
82,0.3666666666666667
83,1.0
84,-0.6499999999999999
85,0.6
86,0.3666666666666667
87,0.6
88,0.55
89,0.6
90,0.04999999999999999
91,-0.3
92,1.0
93,0.6
94,0.6
95,0.55
96,0.6
97,-0.6499999999999999
98,1.0
99,0.3666666666666667
100,0.75
101,-0.6499999999999999
102,0.4052083333333334
103,0.6
104,-0.5
105,-0.6499999999999999
106,0.5
107,-0.6499999999999999
108,0.5
109,0.7
110,0.6
111,0.6
112,0.2
113,-1.0
114,0.6
115,0.1
116,0.6
117,0.3
118,-0.4000000000000001
119,0.2
120,0.3666666666666667
121,0.25
122,0.6
123,0.5
124,0.5
125,0.55
126,0.16666666666666666
127,0.2
128,-0.11249999999999999
129,-0.06666666666666667
130,0.6875
131,-0.25
132,0.5
133,0.6
134,-0.6499999999999999
135,-0.6499999999999999
136,0.5
137,0.2
138,0.7
139,0.3666666666666667
140,-0.17999999999999997
141,0.5866666666666667
142,0.7
143,0.6
144,0.7
145,-0.6499999999999999
146,0.2555555555555555
147,0.7
148,0.025000000000000022
149,0.13333333333333333
150,0.6
151,0.6333333333333333
152,0.7
153,0.6
154,0.6
155,0.6
156,0.6900000000000001
157,0.96
158,0.16999999999999998
159,0.43857142857142856
160,0.22861111111111107
161,0.16111111111111112
162,0.23416666666666666
163,0.27777777777777773
164,0.13666666666666666
165,0.6
166,0.6
167,0.09833333333333334
168,0.5
169,0.55
170,0.13333333333333333
171,0.3666666666666667
172,0.6
173,0.6
174,0.6
175,-0.6499999999999999
176,0.7
177,-0.3
178,0.7
179,0.4
180,0.7
181,0.7
182,0.7
183,0.9
184,0.7
185,0.4358333333333333
186,0.14722222222222223
187,0.6
188,0.6
189,0.13750000000000004
190,-0.08055555555555553
191,0.19999999999999998
192,0.57
193,0.24523809523809526
194,-0.45
195,0.43749999999999994
196,0.7
197,-0.6499999999999999
198,-0.65
199,0.55
200,0.1
201,0.3666666666666667
202,0.5
203,-0.5
204,-0.6499999999999999
205,0.3666666666666667
206,0.3
207,0.9599999999999999
208,0.3666666666666667
209,0.2
210,0.3666666666666667
211,-0.2
212,0.3666666666666667
213,0.6
214,0.6
215,-0.6499999999999999
216,0.3666666666666667
217,0.3666666666666667
218,0.6
219,-0.6499999999999999
220,-0.6499999999999999
221,-0.6499999999999999
222,-0.6499999999999999
223,0.2
224,0.55
225,0.3666666666666667
226,0.30000000000000004
227,0.6
228,0.5
229,-0.04999999999999999
230,-0.6499999999999999
231,0.6
232,0.2
233,0.375
234,0.55
235,-0.3333333333333333
236,0.6
237,0.7000000000000001
238,-0.5
239,0.6
240,0.43333333333333335
241,-0.6499999999999999
242,0.1
243,0.55
244,0.6
245,0.6
246,-0.6499999999999999
247,-0.6499999999999999
248,-0.6499999999999999
249,-0.6499999999999999
250,-0.6499999999999999
251,-0.6499999999999999
252,-0.6499999999999999
253,0.6
254,0.13333333333333333
255,0.6
256,0.18750000000000003
257,-0.4533333333333333
258,0.7
259,0.3666666666666667
260,0.55
261,0.3666666666666667
262,0.25
263,0.6
264,0.6
265,-0.6
266,0.6
267,0.6
268,0.3666666666666667
269,-0.1
270,0.5
271,0.6
272,1.0
273,-0.6499999999999999
274,-0.30750000000000005
275,0.6
276,0.7
277,-0.6499999999999999
278,-0.6499999999999999
279,0.55
280,0.6
281,0.6
282,0.9765625
283,0.7
284,-0.6
285,0.18888888888888888
286,0.75
287,0.55
288,-0.75
289,-0.75
290,0.7
291,-0.3
292,-0.75
293,0.6
294,0.7
295,0.6499999999999999
296,0.016666666666666663
