,Text,Topic,Rating,Likes,Food,Broad Filter,Media,Age,Gender,food,supermarkets,related,drinks,slang,diet,meals,Dmeals,words_no,Polarity,restaurants,brands,Media_0,Media_1,Media_2,topic_no
2,Ik heb honger,4: Drinken,,2,['honger'],['honger'],2.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
3,Ik ben kort en pittig,4: Drinken,,1,['pittig'],"['kort', 'pittig']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,4
11,Wie zn brood lekker? :-P ,4: Drinken,1.2,2,['brod'],"['zn', 'brod', 'lekker']",1.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.675,0.0,0.0,0.0,1.0,0.0,4
31,Nog steeds honger,4: Drinken,,1,['honger'],"['sted', 'honger']",2.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
38,Tasty,4: Drinken,,4,['tasty'],['tasty'],2.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
41,HIER KRIJG IK ZO'N HONGER VAN!!!????,4: Drinken,,0,['honger'],"['krijg', 'honger']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
48,Ik krijg echt honger van die plaatjes ????????????????????????????????????????????,4: Drinken,,1,['honger'],"['krijg', 'echt', 'honger', 'plaatjes']",2.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,1.0,4
70,Hallo jumbo??????,4: Drinken,,0,['jumbo'],"['hallo', 'jumbo']",0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
80,Hallo jumbo,4: Drinken,,0,['jumbo'],"['hallo', 'jumbo']",0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
87,Wa eten julliw?,4: Drinken,,0,['eten'],"['wa', 'eten', 'julliw']",0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
95,Jumbo,4: Drinken,,0,['jumbo'],['jumbo'],0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
96,Ken je dat opname microfoontje aan je scherm en nou dan zie je zo als ik je inspreek jibbe  dan ja dan krijg je Jumbo,4: Drinken,,0,['jumbo'],"['ken', 'opnam', 'microfoontj', 'scherm', 'nou', 'zie', 'insprek', 'jibb', 'krijg', 'jumbo']",0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
97,Goede reclame voor de Jumbo????,4: Drinken,,0,['jumbo'],"['goed', 'reclam', 'jumbo']",0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.55,0.0,0.0,1.0,0.0,0.0,4
98,Dat van jumbo neem het niet sirrieus,4: Drinken,,0,['jumbo'],"['jumbo', 'nem', 'sirrieus']",0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
121,Ik krijg honger,4: Drinken,,0,['honger'],"['krijg', 'honger']",2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
131,Ik heb ook honger stein,4: Drinken,,2,['honger'],"['honger', 'stein']",2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
135,Ik zie jou maar jij zoet mij niet laat maar,4: Drinken,,0,['zoet'],"['zie', 'jou', 'jij', 'zoet', 'lat']",0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.275,0.0,0.0,1.0,0.0,0.0,4
155,NU heb ik honger!!??,4: Drinken,,0,['honger'],['honger'],0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
161,"Nu moet ik echt eten, bay!!!",4: Drinken,,0,['eten'],"['echt', 'eten', 'bay']",0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.390625,0.0,0.0,1.0,0.0,0.0,4
228,Jij zegt tegen ons dat jij juist niet van groente houd??,4: Drinken,1.0,0,['groent'],"['jij', 'zegt', 'jij', 'juist', 'groent', 'houd']",0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,0.0,0.0,4
297,Bakker er  geen chocolade van,4: Drinken,5.0,0,['chocolad'],"['bakker', 'chocolad']",1.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4
301,Bij deze foto krijg ik honger.     Jullie ook,4: Drinken,,0,['honger'],"['foto', 'krijg', 'honger', 'jullie']",2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
339,Ghandi is mijn oom geef hem een wc alsjeblieft mijn koelkast heer yoki,4: Drinken,,0,['koelkast'],"['ghandi', 'oom', 'gef', 'wc', 'alsjeblieft', 'koelkast', 'her', 'yoki']",0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
344,Honger,4: Drinken,,0,['honger'],['honger'],2.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
369,Norah slurpt haar drinken naar binnen,4: Drinken,,2,['drink'],"['norah', 'slurpt', 'drink', 'binn']",0.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.6499999999999999,0.0,0.0,1.0,0.0,0.0,4
373,Nu weer vragen gehad ??           pannekoeken gegeten????,4: Drinken,2.4,3,['pannekoek'],"['wer', 'vrag', 'gehad', 'pannekoek', 'geget']",1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4
384,En ik heb honger,4: Drinken,,0,['honger'],['honger'],0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
388,Eerst boris uitlaten en even wat drinken,4: Drinken,,0,['drink'],"['eerst', 'boris', 'uitlat', 'even', 'drink']",0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
421,In je koelkast,4: Drinken,,0,['koelkast'],['koelkast'],0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
456,Je moet eten en drinken en stil zijn,4: Drinken,,0,"['drink', 'eten']","['eten', 'drink', 'stil']",0.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,-0.06666666666666667,0.0,0.0,1.0,0.0,0.0,4
464,Jumbo Jumbo zegt hij is bij de Jumbo chocolade eieren vergiftigd,4: Drinken,5.0,0,"['jumbo', 'jumbo', 'jumbo', 'chocolad']","['jumbo', 'jumbo', 'zegt', 'jumbo', 'chocolad', 'eier', 'vergiftigd']",0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4
481,Ik heb honger????,4: Drinken,,2,['honger'],['honger'],1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4
513,Yummie,4: Drinken,,1,['yummie'],['yummie'],0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
519,Wees maar bljj dat je het niet dee ik was aan het eten,4: Drinken,,0,['eten'],"['wes', 'bljj', 'dee', 'eten']",0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4
537,Heb honger jongen,4: Drinken,,0,['honger'],"['honger', 'jong']",2.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
538,Heb honger,4: Drinken,,0,['honger'],['honger'],2.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4
549,Je krijgt morgen snoep als je lief doet ,4: Drinken,4.4,0,['snoep'],"['krijgt', 'morg', 'snoep', 'lief', 'doet']",0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6333333333333333,0.0,0.0,1.0,0.0,0.0,4
550,Kauw kauw... Ah ik krijg het niet doorgeslikt,4: Drinken,,2,"['kauw', 'kauw']","['kauw', 'kauw', 'ah', 'krijg', 'doorgeslikt']",1.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4
